,Atribuição,Quem_falou,Quem_faz,Quantidade_qf
0,Apoia os CAOs e grupos,"['CADG', 'CADG', 'CENPE', 'GATE']",CADG,4
1,Coleta dados da atuação institucional,"['CADG', 'CADG', 'CENPE', 'GATE', 'GATE', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA']",CADG,10
2,"Coleta, analisa e sistematiza dados internos e externos georreferenciados","['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",CADG,13
3,"Coleta, trata, guarda e disponibiliza dados internos e externos","['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",CADG,13
4,Contribuição para a eleição de prioridades de atuação do MPRJ,['CENPE'],CADG,1
5,Desenvolve aplicações a partir da análise de dados internos e externos,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'INOVA', 'INOVA']",CADG,9
6,Desenvolve e gerencia plataformas de divulgação de informações de interesse social,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",CADG,14
7,Desenvolve sistemas a partir da análise de dados externos e internos,"['CADG', 'CENPE', 'CENPE', 'GATE', 'STIC', 'INOVA']",CADG,6
8,Desenvolve sistemas de tecnologia da informação de uso interno,"['CADG', 'STIC']",CADG,2
9,Desenvolve sites para campanhas e casos de atuação do MPRJ,"['CADG', 'INOVA']",CADG,2
10,Desenvolve visualizações estáticas e interativas de dados processados,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'STIC', 'CSI', 'IEP', 'IEP', 'INOVA', 'INOVA']",CADG,13
11,Difunde conhecimento sobre o funcionamento e a atuação do MPRJ,['IEP'],CADG,1
12,Difunde informação de interesse social a partir da coleta e análise de dados,"['CADG', 'CADG', 'CENPE', 'CENPE', 'GATE', 'GATE', 'STIC', 'CSI', 'CSI', 'IEP', 'INOVA', 'INOVA']",CADG,12
13,Dissemina conhecimento,"['CADG', 'CENPE', 'IEP', 'INOVA']",CADG,4
14,Dá suporte técnico a casos concretos de atuação do MPRJ,['INOVA'],CADG,1
15,Elabora diagnósticos de órgãos do Ministério Público,"['CADG', 'CADG', 'CENPE', 'STIC', 'IEP']",CADG,5
16,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ,"['CSI', 'CSI', 'IEP']",CADG,3
17,Faz experimentos,"['STIC', 'STIC']",CADG,2
18,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos,['CENPE'],CADG,1
19,"Fomenta inovação, transparência, inclusão e participação na gestão pública","['CADG', 'GATE', 'CSI', 'INOVA']",CADG,4
20,Identifica problemas públicos relevantes,['STIC'],CADG,1
21,Oferece consultoria técnica,['STIC'],CADG,1
22,Potencializa o impacto social do MPRJ,"['CADG', 'STIC']",CADG,2
23,Produz conhecimento com análise crítica,"['CENPE', 'GATE', 'STIC', 'IEP']",CADG,4
24,Promove e fomenta análises interdisciplinares,"['CADG', 'STIC', 'IEP']",CADG,3
